date,APPLE,IBM,MICROSOFT,SALESFORCE,VISA
2017-04-24,33.904781,121.684982,63.038235,84.169998,88.950638
2017-04-25,34.114849,121.412437,63.402267,84.75,89.202454
2017-04-26,33.914227,121.162651,63.318272,84.949997,88.921585
2017-04-27,33.940201,121.359489,63.729004,85.849998,88.708534
2017-04-28,33.907143,121.3368,63.906349,86.120003,88.340523
2017-05-01,34.598732,120.239182,64.793198,86.660004,88.379257
2017-05-02,34.81826,120.435959,64.690498,87.089996,89.618866
2017-05-03,34.712044,120.080185,64.48513,86.550003,89.522018
2017-05-04,34.586941,120.398132,64.233101,86.519997,89.696335
2017-05-05,35.160515,117.370186,64.410446,86.970001,89.183052
2017-05-08,36.116478,116.972702,64.354454,86.860001,89.018417
2017-05-09,36.347794,116.269485,64.447784,87.129997,89.095886
2017-05-10,36.175472,115.612122,64.699829,87.309998,89.338005
2017-05-11,36.48835,115.153488,63.906349,87.709999,89.192749
2017-05-12,36.997921,114.939468,63.831696,89.040001,89.802849
2017-05-15,36.903122,115.810852,63.878368,89.800003,90.287086
2017-05-16,36.84861,117.469559,65.164574,89.75,90.20961
2017-05-17,35.611389,115.367508,63.352608,87.839996,89.021156
2017-05-18,36.154152,115.252861,63.56855,87.75,88.972633
2017-05-19,36.277409,116.17012,63.549778,87.400002,89.719658
2017-05-22,36.497837,116.674599,64.26329,88.940002,90.524879
2017-05-23,36.452797,116.208321,64.47924,88.489998,91.058472
2017-05-24,36.343765,116.575256,64.563713,89.599998,91.980125
2017-05-25,36.469387,117.102638,65.361725,91.269997,92.203255
2017-05-26,36.407757,116.559959,65.680939,90.830002,91.844307
2017-05-30,36.421982,115.979012,66.103401,90.860001,91.892815
2017-05-31,36.206303,116.666962,65.568268,89.639999,92.387604
2017-06-01,36.305851,116.697533,65.812363,90.050003,92.552498
2017-06-02,36.843864,116.223625,67.370842,90.860001,93.280136
2017-06-05,36.483601,116.498772,67.859032,91.379997,93.668198
2017-06-06,36.606846,116.468224,68.084358,91.099998,92.93087
2017-06-07,36.824902,115.405754,67.962303,91.389999,93.221893
2017-06-08,36.734837,116.261848,67.54921,91.25,93.221893
2017-06-09,35.310383,117.790611,66.018906,87.269997,91.737587
2017-06-12,34.466606,118.616135,65.511948,86.18,90.709244
2017-06-13,34.743923,117.905251,66.328735,87.269997,92.242065
2017-06-14,34.404991,117.568901,65.971962,87.169998,92.474892
2017-06-15,34.198784,117.882332,65.624588,86.269997,91.359215
2017-06-16,33.72002,118.769012,65.718483,86,91.359215
2017-06-19,34.684666,118.356216,66.535263,87.540001,91.960724
2017-06-20,34.369442,118.440308,65.633972,86.919998,91.56295
2017-06-21,34.573273,117.553642,65.971962,87.559998,91.71817
